Rank,Team,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance,Top Team Scorer,Goalkeeper
1,Liverpool,35,25,7,3,81,35,46,82,2.34,60321,Mohamed Salah - 28,Alisson
2,Arsenal,35,18,13,4,64,31,33,67,1.91,60256,Kai Havertz - 9,David Raya
3,Manchester City,35,19,7,9,67,43,24,64,1.83,52741,Erling Haaland - 21,Ederson
4,Newcastle Utd,35,19,6,10,66,45,21,63,1.8,52182,Alexander Isak - 23,Nick Pope
5,Chelsea,35,18,9,8,62,41,21,63,1.8,39652,Cole Palmer - 15,Robert Sánchez
6,Nott'ham Forest,35,18,7,10,54,42,12,61,1.74,30036,Chris Wood - 19,Matz Sels
7,Aston Villa,35,17,9,9,55,49,6,60,1.71,42070,Ollie Watkins - 15,Emiliano Martínez
8,Bournemouth,35,14,11,10,55,42,13,53,1.51,11210,Justin Kluivert - 12,Kepa Arrizabalaga
9,Brentford,35,15,7,13,62,53,9,52,1.49,18832,"Yoane Wissa, Bryan Mbeumo - 18",Mark Flekken
10,Brighton,35,13,13,9,57,56,1,52,1.49,31808,João Pedro - 10,Bart Verbruggen
11,Fulham,35,14,9,12,50,47,3,51,1.46,26727,Raúl Jiménez - 10,Bernd Leno
12,Crystal Palace,35,11,13,11,44,48,-4,46,1.31,25081,Jean-Philippe Mateta - 14,Dean Henderson
13,Wolves,35,12,5,18,51,62,-11,41,1.17,30621,Matheus Cunha - 15,José Sá
14,Everton,35,8,15,12,36,43,-7,39,1.11,38397,"Iliman Ndiaye, Beto - 7",Jordan Pickford
15,Manchester Utd,35,10,9,16,42,51,-9,39,1.11,73738,Bruno Fernandes - 8,André Onana
16,Tottenham,35,11,5,19,63,57,6,38,1.09,61159,Brennan Johnson - 11,Guglielmo Vicario
17,West Ham,35,9,10,16,40,59,-19,37,1.06,62463,Jarrod Bowen - 10,Alphonse Areola
18,Ipswich Town,35,4,10,21,35,76,-41,22,0.63,29753,Liam Delap - 12,Arijanet Muric
19,Leicester City,35,5,6,24,29,76,-47,21,0.6,31418,Jamie Vardy - 8,Mads Hermansen
20,Southampton,35,2,5,28,25,82,-57,11,0.31,30854,Paul Onuachu - 4,Aaron Ramsdale
